dateff,rf
19911129,0.00390
19911231,0.00380
19920131,0.00340
19920228,0.00280
19920331,0.00340
19920430,0.00320
19920529,0.00280
19920630,0.00320
19920731,0.00310
19920831,0.00260
19920930,0.00260
19921030,0.00230
19921130,0.00230
19921231,0.00280
19930129,0.00230
19930226,0.00220
19930331,0.00250
19930430,0.00240
19930528,0.00220
19930630,0.00250
19930730,0.00240
19930831,0.00250
19930930,0.00260
19931029,0.00220
19931130,0.00250
19931231,0.00230
19940131,0.00250
19940228,0.00210
19940331,0.00270
19940429,0.00270
19940531,0.00310
19940630,0.00310
19940729,0.00280
19940831,0.00370
19940930,0.00370
19941031,0.00380
19941130,0.00370
19941230,0.00440
19950131,0.00420
19950228,0.00400
19950331,0.00460
19950428,0.00440
19950531,0.00540
19950630,0.00470
19950731,0.00450
19950831,0.00470
19950929,0.00430
19951031,0.00470
19951130,0.00420
19951229,0.00490
19960131,0.00430
19960229,0.00390
19960329,0.00390
19960430,0.00460
19960531,0.00420
19960628,0.00400
19960731,0.00450
19960830,0.00410
19960930,0.00440
19961031,0.00420
19961129,0.00410
19961231,0.00460
19970131,0.00450
19970228,0.00390
19970331,0.00430
19970430,0.00430
19970530,0.00490
19970630,0.00370
19970731,0.00430
19970829,0.00410
19970930,0.00440
19971031,0.00420
19971128,0.00390
19971231,0.00480
19980130,0.00430
19980227,0.00390
19980331,0.00390
19980430,0.00430
19980529,0.00400
19980630,0.00410
19980731,0.00400
19980831,0.00430
19980930,0.00460
19981030,0.00320
19981130,0.00310
19981231,0.00380
19990129,0.00350
19990226,0.00350
19990331,0.00430
19990430,0.00370
19990528,0.00340
19990630,0.00400
19990730,0.00380
19990831,0.00390
19990930,0.00390
19991029,0.00390
19991130,0.00360
19991231,0.00440
20000131,0.00410
20000229,0.00430
20000331,0.00470
20000428,0.00460
20000531,0.00500
20000630,0.00400
20000731,0.00480
20000831,0.00500
20000929,0.00510
20001031,0.00560
20001130,0.00510
20001229,0.00500
20010131,0.00540
20010228,0.00380
20010330,0.00420
20010430,0.00390
20010531,0.00320
20010629,0.00280
20010731,0.00300
20010831,0.00310
20010928,0.00280
20011031,0.00220
20011130,0.00170
20011231,0.00150
20020131,0.00140
20020228,0.00130
20020328,0.00130
20020430,0.00150
20020531,0.00140
20020628,0.00130
20020731,0.00150
20020830,0.00140
20020930,0.00140
20021031,0.00140
20021129,0.00120
20021231,0.00110
20030131,0.00100
20030228,0.00090
20030331,0.00100
20030430,0.00100
20030530,0.00090
20030630,0.00100
20030731,0.00070
20030829,0.00070
20030930,0.00080
20031031,0.00070
20031128,0.00070
20031231,0.00080
20040130,0.00070
20040227,0.00060
20040331,0.00090
20040430,0.00080
20040528,0.00060
20040630,0.00080
20040730,0.00100
20040831,0.00110
20040930,0.00110
20041029,0.00110
20041130,0.00150
20041231,0.00160
20050131,0.00160
20050228,0.00160
20050331,0.00210
20050429,0.00210
20050531,0.00240
20050630,0.00230
20050729,0.00240
20050831,0.00300
20050930,0.00290
20051031,0.00270
20051130,0.00310
20051230,0.00320
20060131,0.00350
20060228,0.00340
20060331,0.00370
20060428,0.00360
20060531,0.00430
20060630,0.00400
20060731,0.00400
20060831,0.00420
20060929,0.00410
20061031,0.00410
20061130,0.00420
20061229,0.00400
20070131,0.00440
20070228,0.00380
20070330,0.00430
20070430,0.00440
20070531,0.00410
20070629,0.00400
20070731,0.00400
20070831,0.00420
20070928,0.00320
20071031,0.00320
20071130,0.00340
20071231,0.00270
20080131,0.00210
20080229,0.00130
20080331,0.00170
20080430,0.00180
20080530,0.00180
20080630,0.00170
20080731,0.00150
20080829,0.00130
20080930,0.00150
20081031,0.00080
20081128,0.00030
20081231,0.00000
20090130,0.00000
20090227,0.00010
20090331,0.00020
20090430,0.00010
20090529,0.00000
20090630,0.00010
20090731,0.00010
20090831,0.00010
20090930,0.00010
20091030,0.00000
20091130,0.00000
20091231,0.00010
20100129,0.00000
20100226,0.00000
20100331,0.00010
20100430,0.00010
20100528,0.00010
20100630,0.00010
20100730,0.00010
20100831,0.00010
20100930,0.00010
20101029,0.00010
20101130,0.00010
20101231,0.00010
20110131,0.00010
20110228,0.00010
20110331,0.00010
20110429,0.00000
20110531,0.00000
20110630,0.00000
20110729,0.00000
20110831,0.00010
20110930,0.00000
20111031,0.00000
20111130,0.00000
20111230,0.00000
20120131,0.00000
20120229,0.00000
20120330,0.00000
20120430,0.00000
20120531,0.00010
20120629,0.00000
20120731,0.00000
20120831,0.00010
20120928,0.00010
20121031,0.00010
20121130,0.00010
20121231,0.00010
20130131,0.00000
20130228,0.00000
20130328,0.00000
20130430,0.00000
20130531,0.00000
20130628,0.00000
20130731,0.00000
20130830,0.00000
20130930,0.00000
20131031,0.00000
20131129,0.00000
20131231,0.00000
20140131,0.00000
20140228,0.00000
20140331,0.00000
20140430,0.00000
20140530,0.00000
20140630,0.00000
20140731,0.00000
20140829,0.00000
20140930,0.00000
20141031,0.00000
20141128,0.00000
20141231,0.00000
20150130,0.00000
20150227,0.00000
20150331,0.00000
20150430,0.00000
20150529,0.00000
20150630,0.00000
20150731,0.00000
20150831,0.00000
20150930,0.00000
20151030,0.00000
20151130,0.00000
20151231,0.00010
20160129,0.00010
20160229,0.00020
20160331,0.00020
20160429,0.00010
20160531,0.00010
20160630,0.00020
20160729,0.00020
20160831,0.00020
20160930,0.00020
20161031,0.00020
20161130,0.00010
20161230,0.00030
